card name,question,answer
"","What if it loses its abilities (e.g. Silence aura)?","Selfsame Simulacrum remains a copy, but any abilities that were printed on the original copy are now ignored."
"Shield Maidens","My Shield Maidens attack, and then 3 Foot Soldiers defend. How much damage do my Shield Maidens take?","0, because each source of damage is reduced by 1!"
"Siege Ballista","Do both units need to have been in play for a turn or have charge?","Yes. Summoning sick units can't be tapped to pay costs."
"Silence","What happens if a Mountain Giant occupies a Silence aura?","A card's size is generally set when it enters the realm, and is considered one of its characteristics, not an ability. It will not resize."
"","What happens if a Silence aura is animated by Enchantress?","It still silences other minions but it also silences itself."
"Silver Bullet","Can the bearer cast the spell, even if they're not a spellcaster?","Yes!"
"Sir Morien","Can enemy projectiles be shot from Morien's location?","No, Morien cuts them down immediately, like the total badass he is."
"Sir Tom Thumb","If my opponent's beast snatches Tom up, do they now take control of him?","How dare you!? Sir Tom Thumb is no mere trinket. He's a fully autonomous being and acknowledges no other controller!"
"Skeleton Mage","If Deathspeaker uses his ability to cast Skeleton Mage, does the Skeleton Mage get to use its genesis ability (casting and resolving a spell) before being banished?","Yes!"
"Skirmishers of Mu","How does this ability work?","After declaring their movement path but before actually moving, Skirmishers may shoot. (The game will lookahead to see if your declared path will actually result in movement, ignoring all triggered abilities but considering all ongoing effects.) Alternately, Skirmishers may shoot when they enter a new location during basic movement. They get one shot total during their basic movement, regardless of how far they move. Note that basic movement includes movement from a basic ability, i.e. Move and Attack, and Defend."
"Slimy Mutants","Is this an activated ability that I use while Slimy Mutants are in my hand?","Yes! While Slimy Mutants are in your hand, you may pay (3) and resolve the effect."
"Slumbering Giantess","If attacked by a minion that strikes first, does the Giantess end up striking back?","Yes, assuming she isn't killed."
"Smokestacks of Gnaak","What happens if there are two Smokestacks of Gnaak nearby each other?","See '((Example - Two Smokestacks of Gnaak))' in the codex!"
"","How do Smokestacks of Gnaak and Mirror Realm interact?","By the time Mirror ))Realm(( enters the realm, it's already a copy. Thus, it can copy a nearby site, and then promptly loses all abilities of that copied site (but still is the copy, without abilities). See '((Apply Ongoing Effects In Order))' in the codex for nitty-gritty details."
"","How do Smokestacks of Gnaak and Rift Valley interact?","Rift Valley enters the realm using its ability, and only loses its ability once it's in the realm (which by then, it doesn't really matter)."
"Snowball","Does the snowball's path include both the starting and ending locations?","Yes! The projectile's path determines which locations are affected by the rest of the snowball, gathering up everything along the way, just as you'd expect giant snowball physics would work after watching all those Saturday morning cartoons."
"Sparkmage","Can any of my spellcasters cast a spell and still benefit from my avatar's ability?","Yes! As long as you control the spellcaster, the game sees it as a spell '((you))' cast, meaning the player."
"","Is the damage considered air damage?","Yes."
"","If I give my Sparkmage a poisonous dagger, will it deal lethal damage with its tap ability?","Yes, because it's dealing the damage directly via it's ability. (Damage from a lightning bolt cast by the Sparkmage would not be lethal.)"
"","If I reduce the threshold required to cast the spell (e.g. Mix Aer), does the threshold still count for the Sparkmage ability?","Yes. The Sparkmage ability considers printed threshold on the spell."
"Spear of Destiny","What if the minion being killed occupies more than one location?","You choose where the spear teleports, which will be a single location the minion occupies."
"Spin Attack","Does this card count as an 'attack' since it has the word 'attack' in its name?","Sorry for the confusion, but no, this is not actually an attack! You only get an 'attack' from the Move and Attack basic ability, or card text that specifically uses the word attack (e.g. Crave Golem). This card text uses the word 'strike,' which means the unit simply deals damage equal to its power (and there's no chance for the opponent to Defend, and you can strike Stealthed or Airborne units, etc.)"
"Spire Lich","Does Watchtower satisfy the Spire Lich?","Yes, because of the golden rule. Be cool!"
"Squirming Mass","Let's say the Mass is 1 power, and it fights another 1 power minion. What happens?","Both take 1 damage each, which results in their simultaneous death. That triggers Squirming Mass's ability, which means its gains +1 power, but it's already dying, and merely gaining power isn't enough to save it. (Something specifically that saves a unit from death would be necessary, like Gilded Aegis.) In this example, both minions are placed in the cemetery."
"","If a minion's current power is different from its printed power when it dies, which value does Squirming Mass gain?","The current power of the minion that dies."
"Sturmgeist","If the spellcaster dies before the spell they cast resolves, will their spell still resolve?","No! If the spellcaster is dead before their spell resolves, the spell will not resolve at all. See '((Source is No Longer in the Realm))' for more details."
"Summoning Sphere","Does this allow me to summon my units burrowed even without burrowing?","No. The effect only allows you to break the restriction of choosing one of your own sites, but not the rule about summoning atop the site."
"","The term 'summon' means 'enter the realm.' So, does that mean I can play minions here for free?","No. This effect simply provides additional locations where you may summon your minions."
"Sunken Treasure","Do I get the cards immediately when my minion carrying the treasure moves to the surface, even in the middle of something else (like defending or attacking) ?","Yes! As soon as your unit is on the surface, you resolve the treasure effect."
"Swap","If one target is a minion, can the other target be an artifact, and vice versa?","Yes. Target one (minion or artifact) and target another (minion or artifact)."
"","How exactly do I resolve a 'swap' effect?","The two cards are simultaneously teleported to each other's location. If one of the targets cannot be targeted or teleported (e.g. Iron Man Talus), neither target moves."
"","What if one or both of the swapped cards were being carried?","If either card was being carried by a unit, that unit will be carrying the newly swapped artifact/minion, due to the golden rule. For example, if two carried artifacts are swapped, the bearers will be carrying their newly swapped artifacts (even if they both are in the same location). If a minion is swapped with an artifact, presumably the minion will be immediately dropped (unless the new bearer can carry minions) and the artifact will not be carried (unless the swapped minion was being carried before it was swapped)."
"","What if an oversized unit is involved?","Choose one of the locations the oversized unit occupies as the destination of the other card. See '((Teleporting Oversized Units))' for more details."
"Symmetric Suffering","How do I resolve this effect if I sacrifice a card that has multiple types (e.g. Automaton) ?","When you sacrifice a card that has multiple types, you may specify which type your opponent must match. For example, if you sacrifice one automaton (Minion and Artifact), you can force your opponent to sacrifice a minion or an artifact, your choice (not both). Similarly, if you're playing as Enchantress and you sacrifice an animated aura (Minion and Aura), you can force your opponent to sacrifice a minion or an aura, your choice (not both)."
"Templar","Can any of my spellcasters cast a spell and still benefit from my avatar's ability?","Yes! As long as you control the spellcaster, the game sees it as a spell '((you))' cast, meaning the player."
"Thankless Squire","Once the Thankless Squire has delivered all those lances, and isn't carrying any more, is it still Immobile?","Yes, he's very tired and in need of a rest."
"The Apex of Babel","What does it mean to 'build The Tower of Babel' and 'play ... atop this' ?","You may play The Apex of Babel onto the same square as The Base of Babel! (If you have multiple copes of The Base of Babel in the realm, choose one.) If you do, they merge into a single site called The Tower of Babel. When you build it by playing the Apex, resolve the effect on The Apex of Babel. The Tower of Babel is considered a single site that provides (2) mana and (A)(E), and is both Unique and Exceptional. (The turn you play it, you gain (1) more mana since the Base was already in play.) If it's destroyed, both The Apex of Babel and The Base of Babel go to your cemetery. If it's copied, e.g. Mirror Realm, the copy will provide (2) mana, etc., but you won't get the build bonus again. For all purposes, The Tower of Babel is considered a single site."
"The Base of Babel","What does it mean to 'build The Tower of Babel' and 'play ... atop this' ?","You may play The Apex of Babel onto the same square as The Base of Babel! (If you have multiple copes of The Base of Babel in the realm, choose one.) If you do, they merge into a single site called The Tower of Babel. When you build it by playing the Apex, resolve the effect on The Apex of Babel. The Tower of Babel is considered a single site that provides (2) mana and (A)(E), and is both Unique and Exceptional. (The turn you play it, you gain (1) more mana since the Base was already in play.) If it's destroyed, both The Apex of Babel and The Base of Babel go to your cemetery. If it's copied, e.g. Mirror Realm, the copy will provide (2) mana, etc., but you won't get the build bonus again. For all purposes, The Tower of Babel is considered a single site."
"The Colour Out of Space","If it's not adjacent to void and is within Abundance, does it still gain extra mana?","Yes. The site doesn't provide mana normally, but if it's modified in some way (e.g. Abundance), then it can provide additional mana. 0 + 1 = 1."
"","If it's not adjacent to void and is the target of a flood, does it still gain water affinity?","Yes. The site doesn't provide affinity normally, but if it's modified in some way (e.g. Flood), then it will."
"The Doom of Dilmun","Can this minion die?","The only way it can be killed is if you sacrifice it. Otherwise, it cannot be killed. Meet your doom!"
"The Geistwood","If multiple minions including Miracle Workers die at the same time on Geistwood, can Miracle Workers return themselves and/or another minion that's dying to your hand?","No, because Miracle Workers only return minions from the cemetery, and deathrites resolve while the minions are still in the realm. The Miracle Workers could return other minions that died earlier that turn and were in the cemetery."
"","If The Geistwood site itself and minions occupying the site are all destroyed at the same time, do the minions' genesis abilities still count as Deathrite abilities, or can the active player decide to destroy Geistwood before the deathrites resolve?","Since the destruction is simultaneous (e.g. Roots of Ygdrassil), all Deathrites will resolve before cards are moved to the cemetery."
"The Hexham Haunts","How does summoning burrowed interact with Evil Presence?","You may summon the Haunts to an affected site, and they must be burrowed. But the Haunts won't gain Charge and Evil Presence will remain in the realm because the Haunts were not summoned 'here' according to Evil Presence, since Evil Presence occupies the surface (and perhaps the void), not underground."
"The Immortal Throne","What does 'alone here' mean?","No other units at the location."
"","What counts as 'playing' a card?","Playing a site, which costs 0, or casting a spell."
"","If I modify the cost of a spell (e.g. a Mix artifact, or an alternate casting cost), does The Immortal Throne look at the modified cost or the printed cost?","Cost in this case means 'printed cost.'"
"","The alpha foil version has the text for Pendulum of Peril on it. Is that a misprint?","Yes. Use the text for the normal version. The foil version is not legal for tournament ))play((."
"The Malleus Maleficarum","Can the bearer cast the spell, even if they're not a spellcaster?","Yes!"
"The Void","How does this site work?","The site still has both a surface and subsurface, but those locations also count as void simultaneously. It has a surface + void location, and a subsurface + void location. Minions without voidwalk that enter the site will immediately be banished. Spells cast from the surface + void location can target cards that are in the surface or the void, for example. Projectiles can travel from the surface + void location into the void."
"","Can my avatar enter this site?","Yes."
"","When my opponent casts a minion spell with Voidwalk, can they choose The Void as its summoning location, even though it's my site?","Yes! It is a void, so they can choose to cast their Voidwalk minions to here if they wish."
"","While my Avatar occupies the surface + void location of The Void site, can I target something occupying the underground + void location of The Void site?","Yes! The target is in the same region (void) as the spellcaster, so it can be targeted!"
"Thunderstorm","The alpha and beta text is different, which should I use?","The beta text is correct."
"Tide Naiads","Can Tide Naiads move from an underwater location to an underground location?","No. They would need to enter the underground location to flood it, and they cannot enter underground locations without burrowing."
"Toolbox","Can the bearer cast the spell, even if they're not a spellcaster?","Yes!"
"Torrid Omphalos","Must spells cast by the Omphalos match its elements?","Yes. Any spell the Omphalos casts much match at least one of its elements."
"Torshammar Trinket","How does this work with end of turn and damage clearing?","The intent is that a 1 power minion with 1 damage + the Trinket would survive the turn."
"Tringh Constrictor","The alpha and beta text is different, which should I use?","The beta text is correct."
"Truesight Crossbow","Can the bearer shoot or defend against a stealthed enemy?","Yes. The bearer can target stealthed minions with spells, shoot them with projectiles, attack or intercept them and even defend against their attacks."
"Tufted Turtles","My Tufted Turtles attack (having taken no damage so far this turn), and then 3 Foot Soldiers defend. How much damage do my Tufted Turtles take?","0, because all three Foot Soldiers did damage at the same time, tied for first, and thus all are prevented!"
"Twist of Fate","Does this count as healing?","No, this is setting life."
"","What happens if I cast this when I'm at death's door?","You can cast it, and your opponent will go to 0 life, being put at Death's Door and becoming immune to damage for the rest of the turn. You will still remain at 0 life since you can't gain life once you're at death's door."
"","For purposes of cards that care about the mana cost of spells, what is the mana cost of a spell with X?","If you cast the spell, the mana cost is X. For example, if you cast it for 2 mana, then Immortal Throne would see it as a 2 cost spell. But, if you aren't casting the spell and it's simply in your hand, spellbook, etc., then X is 0 until you actually cast it."
"Ultimate Horror","The alpha foil version has 3 air threshold and the normal version has 2 air threshold. Which is correct?","The normal version is correct. You only need 2 air affinity to cast this minion."
"","When Ultimate Horror summons dead voidwalk minions, can they go to different nearby sites and voids?","Yes!"
"Undertaker Engine","Can it burrow and unburrow different things the same turn?","Yes."
"Undertow","Does Undertow let you pull a unit underwater if they have submerge?","No, because it's a 'normal step,' which doesn't allow changing regions."
"Unland Angler","What are the details of pulling an oversized minion that occupies the water site and other locations?","When pulling or pushing a oversized unit, choose a single location the oversized unit occupies (and meets the requirement of the effect - e.g. adjacent), and push/pull from there."
"Unland Eel","When it submerges, can it pull down a minion anywhere in the realm, or only from its location?","No. Unland Eel can only drag a minion that shares its location."
"Vanguard Knights","If I have two Vanguard Knights equally forward, do they cancel each other out?","Yes. They only get the benefit if they are the true vanguard, with a single minion being the farthest forward."
"","How do I know if they're the 'farthest forward?'","The row of squares closest to you is 1, then the next row is 2, then 3, then 4. The higher the number, the farther forward it is."
"Varmint Warrens","Does this prevent enemy magic from harming my beasts?","Yes, as long as the effect says 'target'. You'll need to bring in a specialized exterminator to flush out these hidey-holes."
"Vatn Draconis","If I choose to submerge minions and artifacts here, do I submerge Vatn Draconis too?","Yes, it will submerge itself. You cannot choose to submerge only some of the minions and artifacts."
"Vaults of Zul","If I play this under my avatar, have I stopped there?","No, because a unit doesn't enter the site if the unit was already present in the square when the site was played."
"","What does 'stops here' mean?","An avatar stops when there is no additional movement for that unit on the Storyline. A unit must first move to then stop."
"","Does Vaults of Zul trigger once per game, or once per game per avatar?","Once per game total. They took time to loot the vaults! (If two avatars somehow stop on the vaults simultaneously, they will both be tied for first, and will both loot the vaults.)"
"","What happens if my turn is skipped via Vaults of Zul and Courtesan Thaïs is affecting me?","If a turn is skipped then there's no actual turn, which means that part of Courtesan Thaïs's effect would wait for that player's next actual turn."
"Vindictive Nation","When moving sites around, does Vindictive Nation protect the nearby sites before or after the move?","Vindictive Nation protects the sites it was nearby before the move. For example:  I = Vindictive Nation R = Rubble A = Allied Site My opponent casts Earthquake and rearranges the two rightmost sites:  Even though site A moved and is now nearby Vindictive Nation, my opponent doesn't lose any life because A wasn't nearby Vindictive Nation before the move. Alternately, if we started from the second situation and Earthquake moved sites into the first situation, my opponent would lose 3 life because they moved a site that was nearby Vindictive Nation (even though the site ended up no longer nearby)."
"","If my Vindictive Nation is silenced by my opponent, e.g. Smokestacks of Gnaak, will my opponent lose life?","No, because Smokestacks silences them first. Vindictive Nation's ability is effectively a triggered ability, while Smokestacks are a passive ability that generates an ongoing effect. Ongoing effects are applied before triggered abilities can trigger."
"","Does this effect have time to resolve if the site itself is getting destroyed?","Yes! They are very vindictive."
"","Does 'modifying' a site include Flooding it?","Yes, since Flooded is an ability that gets added to the site."
"Vivien the Enchantress","What does 'wherever she is' mean?","Anywhere! The realm, your hand, and cemetery, and even while in the middle of your spellbook."
"","Since Avatars are Spellcasters, is Vivien a Spellcaster?","Not by default. Avatars don't have the printed ability 'Spellcaster,' so Vivien must gain the Spellcaster ability another way, e.g. a minion with the printed Spellcaster ability."
"","Can Vivien the Enchantress copy the abilities of another Vivien the Enchantress?","No."
"","What happens if Vivien uses the Druid's ability to summon Bruin and flip?","She summons Bruin and then flips. As a flipped card with nothing on the back, she has no game text and will effectively do nothing for the rest of the game. She is no longer a minion, has no card type or abilities, etc. The flipped card can exist in the void, and technically she could turn off Pristine Paradise, and would be destroyed by Roots of Yggdrasil."
"Wall of Air","Does this affect subsurface units?","No. (They are not atop the site.)"
"","What if this is animated by an Enchantress?","An animated Wall of Air can't move (unless it gains power), since it has a Wall of Air in its middle! If it gains power (or teleports) and manages to move, the Wall of Air applies between the two squares it occupies."
"","Does this affect the corners of the border? (e.g. Airborne units moving diagonally)","No. 'Border' means adjacent squares, not including diagonals."
"","How many squares does this aura occupy?","2"
"Wall of Fire","How many squares does this aura occupy?","2"
"","What does 'passes through' mean?","Moving through in any way, whether willingly or by force. For example, a unit moved by Grapple Shot or Pudge Butcher would take damage from the Wall of Fire. Note that a teleported unit doesn't pass through borders, and thus wouldn't be affected."
"","Does this affect Airborne units?","Yes. (They are atop the site.)"
"","Does this affect the corners of the border? (e.g. Airborne units moving diagonally)","No. 'Border' means adjacent squares, not including diagonals."
"","What if this is animated by an Enchantress?","It can move, but units are not passing through the Wall of Flame due to its own movement. After moving, its effect will apply between the two squares it occupies."
"","Does this affect subsurface units?","No. (They are not atop the site.)"
"Wall of Ice","How many squares does this aura occupy?","2"
"","What if this is animated by an Enchantress?","An animated Wall of Ice can't move normally, since it has a Wall of Ice in its middle! If it gains Airborne (or teleports, etc.) and manages to move, the Wall of Ice applies between the two squares it occupies."
"Warp Spasm","When is the power doubled?","This effect applies a doubling throughout the turn. If the unit gains or loses power, apply any additions or subtractions first, then double."
"Wave of Eviction","How do I properly resolve this effect?","Choose a cardinal direction from your water site. Forcefully move all enemies from your water site one step in the chosen direction and flood that site. Trigger and resolve any effects related to minions entering or the site being flooded. Then repeat the process until you reach the edge of the realm. The flood and push effect will continue even across a void, but minions cannot be forcefully moved across regions. Each site will be flooded at the same moment as the minions arrive, so a submerged minion being evicted will also be submerged on the new site (and there will never be a moment where it's pushed onto the new site without the new site also being flooded)."
"Waveshaper","When exactly does the previous site stop being flooded when I use this ability for the second time?","The newly flooded site becomes flooded at the same moment the previously flooded site stops being flooded. If you choose the same site, there is no moment when the site isn't flood."
"","If the site doesn't get flooded (e.g. Bedrock), do the minions without submerge still tap?","Yes! Imagine a big wave washing over the Bedrock, knocking everyone over, and then the water dissipates due to Bedrock."
"","What does 'your body of water' mean?","The body of water (if any) that your Avatar currently occupies. If the Avatar isn't in any body of water, the ability won't function. (They're a fish out of water!)"
"","Can I choose the same site over and over?","Yes, as long as it's nearby your body of water."
"Whirling Blades","Does the path include the starting and ending locations?","Yes."
"","Can a unit with move-related abilities (e.g. Airborne) 'take steps' using its ability?","Yes."
"","Do I fully resolve my movement first, then strike each enemy simultaneously?","Yes."
"","If I choose to move 0 steps (perhaps because my unit is Immobile), do I strike anything?","No, because you don't have any path if you don't move. A path involves 1 or more steps, and each step has a starting and ending location that's different (if your step is from a location to the same location, you didn't actually move anywhere.)"
"Wildfire","Does 'visited before' apply to other Wildfires I cast in the same game?","Once it leaves play, a Wildfire forgets all the places it visited. If you have multiple Wildfires in play, track them each separately."
"Wills-o'-the-Wisp","If Wills-o'-the-Wisps are attacked and then use their ability to evade the attack, what happens?","Attack triggers are still satisfied (e.g. Captain Baldassare), but the attack otherwise ends (assuming there aren't any units left to fight). The attacker will not strike, and the target of the attack will not revert to the original target (if any)."
"","If Wills-o'-the-Wisps are attacked by a oversized minion, and then Wills-o'-the-Wisps teleport to a nearby location that the oversized minion still occupies, does the attack continue?","Yes. To actually evade the attack, they must teleport to a location that the attacker doesn't occupy."
"Windblast","Does the movement get resolved simultaneously?","Yes, all the steps are simultaneously resolved (which might then provoke a variety of triggers)."
"","Can I push something into the void?","No. Since this is forced movement (and not normal unit movement), 'one step' means a single adjacent location. (And 'adjacent location' means an adjacent square in the same region.)"
"","Per card text, artifacts that are carried get pushed as well. So, do held artifacts get blown away from the units carrying them?","Since all of the movement is simultaneous the artifact always shares a location with the unit, so it was never dropped and continues to be carried."
"Witherwing Hero","If a weaker ally is attacked and you return them to your hand via this ability, what happens?","Attack triggers are still satisfied (e.g. Captain Baldassare), but the attack otherwise ends, assuming there aren't any units left to fight. The attacker will not strike."
"Zephyranne Airship","What happens when a minion carries another minion that's carrying a minion?","Only the minions you're directly carrying count against your limit. Have fun at the carnival!"
